112	25.7	15.9
113	20.8	15.2
114	20.1	13.8
115	20.1	12.3
116	21.5	12.0
117	22.5	13.4
118	25.0	15.5
119	25.7	16.6
120	25.0	15.9
121	22.9	15.9
122	20.8	17.3
123	22.5	17.3
124	23.2	17.3
125	20.1	16.9
126	22.5	14.5
127	22.2	15.5
128	22.5	16.9
129	21.8	15.5
130	20.8	12.3
131	19.4	13.8
132	15.9	12.7
133	18.0	10.6
134	19.7	12.3
135	21.1	13.1
136	19.0	13.8
137	20.1	12.0
138	21.5	12.0
139	23.2	13.1
140	20.8	13.8
141	21.1	13.1
142	22.5	13.4
143	23.9	15.5
144	25.3	15.9
145	20.1	16.9
146	21.5	13.8
147	23.9	12.0
148	24.3	14.5
149	21.5	12.7
150	23.2	14.1
151	26.1	14.8
152	25.3	17.3
153	25.0	18.3
154	22.5	18.0
155	24.6	16.6
156	24.3	17.3
157	23.6	18.3
158	22.9	18.0
159	22.5	18.3
160	26.8	18.0
161	26.1	18.7
162	26.8	16.9
163	20.8	16.2
164	28.6	17.3
165	29.7	18.7
166	31.5	19.0
167	28.6	20.4
168	30.4	17.3
169	31.5	18.7
170	31.5	20.1
171	31.2	19.0
172	30.8	18.3
173	30.1	18.7
174	29.3	19.4
175	29.3	18.7
176	29.3	20.4
177	28.9	18.7
178	30.8	19.7
179	31.9	20.4
180	30.4	20.4
181	29.3	19.7
182	28.9	18.7
183	30.1	19.4
184	31.2	18.7
185	31.5	20.1
186	32.7	21.5
187	32.3	22.2
188	31.9	22.5
189	32.7	23.6
190	33.0	23.9
191	30.8	22.9
192	30.4	21.5
193	31.5	22.2
194	31.9	22.2
195	31.5	22.5
196	32.3	23.6
197	33.0	22.5
198	34.2	23.9
199	34.2	24.6
200	35.0	25.3
201	34.6	26.4
202	33.8	23.9
203	33.4	23.6
204	33.4	22.9
205	32.3	22.9
206	32.3	23.6
207	33.4	25.0
208	33.0	25.0
209	32.3	23.9
210	30.4	22.5
211	28.9	21.5
212	28.2	20.1
213	30.1	20.8
214	31.2	22.5
215	32.7	23.6
216	33.8	24.6
217	34.2	25.7
218	34.6	25.3
219	33.0	24.3
220	32.3	22.5
221	31.5	21.8
222	32.3	22.5
223	32.3	23.6
224	33.8	25.0
225	34.2	25.3
226	35.0	27.5
227	35.0	25.3
228	33.0	23.6
229	30.8	21.8
230	28.9	20.4
231	29.3	19.7
232	28.9	20.1
233	28.9	19.7
234	30.1	20.1
235	30.1	20.4
236	31.2	19.7
237	32.3	21.8
238	30.1	19.7
239	30.8	19.7
240	30.8	21.5
241	31.5	22.2
242	33.0	23.6
243	32.7	22.9
