113	100	0.0	0.0	0.0	0.0	0.0	0.0
127	75	25	0.0	0.0	0.0	0.0	0.0
133	0.0	17	75	8	0.0	0.0	0.0
148	0.0	8	75	17	0.0	0.0	0.0
156	0.0	0.0	50	50	0.0	0.0	0.0
162	0.0	0.0	0.0	0.0	100	0.0	0.0
175	0.0	0.0	0.0	0.0	60	40	0.0
183	0.0	0.0	0.0	0.0	67	0.0	33
190	0.0	0.0	0.0	0.0	0.0	38	62
197	0.0	0.0	0.0	0.0	0.0	100	0.0
203	0.0	0.0	0.0	0.0	0.0	46	54
211	0.0	0.0	0.0	0.0	0.0	20	80
218	0.0	0.0	0.0	0.0	0.0	67	33
224	0.0	0.0	0.0	0.0	0.0	67	33
231	0.0	0.0	0.0	0.0	0.0	100	0.0
239	0.0	0.0	0.0	0.0	0.0	67	33
253	0.0	0.0	0.0	0.0	0.0	0.0	100
