3.9.2011,California,0,0,0,0,12,20,68
3.9.2011,Sonora,0,0,0,0,0,1,99
3.9.2011,Butte,0,0,0,0,47,20,33
3.9.2011,Nonpareil,0,0,0,0,14,16,70
3.9.2011,Carmel,0,0,0,0,15,25,60
3.10.2011,Padre,0,0,0,0,55,20,25
3.10.2011,California,0,0,0,0,6,15,79
3.10.2011,Sonora,0,0,0,0,0,1,99
3.10.2011,Butte,0,0,0,0,41,21,38
3.10.2011,Nonpareil,0,0,0,0,9,15,76
3.10.2011,Carmel,0,0,0,0,8,17,75
3.11.2011,Padre,0,0,0,0,38,23,39
3.11.2011,California,0,0,0,0,2,6,92
3.11.2011,Sonora,0,0,0,0,0,1,99
3.11.2011,Butte,0,0,0,0,30,25,45
3.11.2011,Nonpareil,0,0,0,0,3,8,89
3.11.2011,Carmel,0,0,0,0,4,7,89
3.14.2011,Padre,0,0,0,0,12,40,48
3.14.2011,California,0,0,0,0,0,2,98
3.14.2011,Sonora,0,0,0,0,0,0,100
3.14.2011,Butte,0,0,0,0,8,34,58
3.14.2011,Nonpareil,0,0,0,0,0,3,97
3.14.2011,Carmel,0,0,0,0,0,5,95
